               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.025416,            0.014221,                   0,             0.59833,              0.6332,             0.64112,             0.24606,            0.052369,            0.025473,                   0,            0.006238,            0.006238,            0.006238
                  40,               0.025,            0.013672,                   0,             0.57779,             0.62162,             0.65664,             0.28644,            0.050365,            0.026044,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.025358,            0.013824,                   0,             0.56618,             0.71429,             0.63779,             0.28668,            0.049423,            0.023539,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.026342,            0.013826,                   0,             0.70439,             0.51737,             0.65494,              0.2857,            0.049647,             0.02332,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.024102,            0.014103,                   0,             0.66146,             0.58301,             0.65143,             0.28529,            0.048973,            0.024959,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.023947,            0.013552,                   0,             0.64154,             0.53899,             0.60923,             0.24474,             0.04935,            0.028001,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.022869,            0.013083,                   0,             0.57674,              0.4556,             0.51933,              0.2075,            0.051171,            0.029233,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.024322,            0.013718,                   0,             0.62973,             0.56473,             0.59143,             0.25041,            0.048924,            0.026113,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.023238,            0.013353,                   0,             0.61104,             0.60618,             0.61737,             0.25762,            0.048916,            0.025289,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.022565,            0.012987,                   0,             0.64988,             0.58301,             0.64166,             0.25245,            0.050837,            0.026482,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.02409,            0.012809,                   0,             0.69653,             0.62548,             0.68804,             0.27893,            0.047794,             0.02655,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.023053,            0.013135,                   0,             0.64837,             0.61776,             0.69117,             0.26948,            0.049184,            0.027647,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.022376,            0.013361,                   0,             0.75407,             0.61004,             0.69552,             0.27322,               0.049,            0.025781,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.023658,            0.012503,                   0,             0.71292,             0.59846,             0.68492,             0.27341,            0.050163,            0.025346,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.022668,            0.013111,                   0,             0.74634,             0.64479,             0.72246,             0.29481,            0.048583,            0.026104,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.023392,            0.013094,                   0,              0.7174,             0.64865,             0.71403,              0.2782,            0.049964,            0.026525,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.022575,            0.012543,                   0,             0.67472,             0.62548,             0.69221,             0.25969,             0.05036,              0.0283,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.022294,            0.012883,                   0,             0.70776,             0.62162,             0.69258,             0.26963,            0.050137,             0.02601,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.021535,            0.012159,                   0,             0.68881,             0.64098,             0.68458,             0.27525,            0.049299,            0.025309,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.02198,            0.012788,                   0,             0.68881,             0.63243,             0.67712,             0.26553,            0.048578,            0.026443,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.021944,            0.012213,                   0,             0.65463,             0.57529,             0.66491,             0.28236,            0.047515,            0.024824,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.021451,            0.012071,                   0,             0.54846,             0.76062,             0.66205,             0.28077,            0.048078,            0.023802,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.021235,            0.013602,                   0,             0.56935,             0.75036,             0.68101,             0.27757,            0.049273,            0.024054,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.021177,            0.012677,                   0,             0.59906,             0.69112,             0.68171,             0.25567,            0.050246,            0.025594,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.021984,            0.012494,                   0,               0.694,             0.57143,             0.69243,             0.27015,            0.050137,            0.026004,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.021556,            0.012438,                   0,             0.58179,             0.69112,             0.69147,             0.28417,            0.049303,             0.02555,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.020956,            0.012548,                   0,             0.67067,             0.58687,             0.67841,             0.27237,            0.049716,            0.025491,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.021111,            0.011819,                   0,             0.55335,             0.71272,             0.67661,             0.28487,            0.048946,            0.024782,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.020083,            0.011909,                   0,             0.64134,             0.56371,             0.65506,             0.27199,            0.048871,            0.026425,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.021229,            0.011664,                   0,             0.59751,             0.59073,             0.63632,             0.26095,            0.049231,             0.02763,                   0,            0.003367,            0.003367,            0.003367
